name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Fauquier County, Virginia",1145.0,438.0,1.0,05000US51061,51,061,T,All,All,All
"Fauquier County, Virginia",0.0,161.0,2.0,05000US51061,51,061,S,Substandard,All,All
"Fauquier County, Virginia",1145.0,438.0,3.0,05000US51061,51,061,S,Standard,All,All
"Fauquier County, Virginia",125.0,143.0,4.0,05000US51061,51,061,S,Standard,RHUD30,All
"Fauquier County, Virginia",0.0,161.0,5.0,05000US51061,51,061,D,Standard,RHUD30,0 or 1
"Fauquier County, Virginia",0.0,161.0,6.0,05000US51061,51,061,D,Standard,RHUD30,2
"Fauquier County, Virginia",125.0,143.0,7.0,05000US51061,51,061,D,Standard,RHUD30,3 or more
"Fauquier County, Virginia",560.0,317.0,8.0,05000US51061,51,061,S,Standard,RHUD50,All
"Fauquier County, Virginia",280.0,218.0,9.0,05000US51061,51,061,D,Standard,RHUD50,0 or 1
"Fauquier County, Virginia",280.0,205.0,10.0,05000US51061,51,061,D,Standard,RHUD50,2
"Fauquier County, Virginia",0.0,161.0,11.0,05000US51061,51,061,D,Standard,RHUD50,3 or more
"Fauquier County, Virginia",460.0,251.0,12.0,05000US51061,51,061,S,Standard,RHUD80,All
"Fauquier County, Virginia",65.0,103.0,13.0,05000US51061,51,061,D,Standard,RHUD80,0 or 1
"Fauquier County, Virginia",335.0,216.0,14.0,05000US51061,51,061,D,Standard,RHUD80,2
"Fauquier County, Virginia",60.0,79.0,15.0,05000US51061,51,061,D,Standard,RHUD80,3 or more
"Fauquier County, Virginia",0.0,161.0,16.0,05000US51061,51,061,S,Standard,Greater than RHUD80,All
"Fauquier County, Virginia",0.0,161.0,17.0,05000US51061,51,061,D,Standard,Greater than RHUD80,0 or 1
"Fauquier County, Virginia",0.0,161.0,18.0,05000US51061,51,061,D,Standard,Greater than RHUD80,2
"Fauquier County, Virginia",0.0,161.0,19.0,05000US51061,51,061,D,Standard,Greater than RHUD80,3 or more
